tribunal,grau,codigo_classe,codigo_formato,orgao_codigo,orgao_nome,data_julgamento,codigo_assunto,data_ajuizamento,tempo_julgamento,assunto_nivel1,assunto_nivel2,assunto_nivel3,assunto_nivel4,assunto_nivel5,classe_nivel1,classe_nivel2,classe_nivel3,classe_nivel4,classe_nivel5,numero_processo
TJRR,G1,1116,1,2764,1ª VARA DA FAZENDA PÚBLICA,2011-02-15,5946,2001-03-14,3625,14,5916.0,5946.0,,,2,158.0,1116.0,,,00197431920018230010
TJRR,G1,1116,1,2764,1ª VARA DA FAZENDA PÚBLICA,2011-02-19,10395,2001-08-23,3467,9985,10394.0,10395.0,,,2,158.0,1116.0,,,00192244420018230010
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2015-06-19,5946,2001-08-23,5048,14,5916.0,5946.0,,,2,158.0,1116.0,,,00191984620018230010
TJRR,G1,1116,1,84323,VARA DE EXECUÇÃO FISCAL,2010-08-10,5946,1999-08-23,4005,14,5916.0,5946.0,,,2,158.0,1116.0,,,00156909220018230010
TJRR,G1,1116,1,2764,1ª VARA DA FAZENDA PÚBLICA,2010-10-27,5946,1999-08-24,4082,14,5916.0,5946.0,,,2,158.0,1116.0,,,00192998320018230010
TJRR,G1,1116,1,84323,VARA DE EXECUÇÃO FISCAL,2010-08-10,5946,2001-11-20,3185,14,5916.0,5946.0,,,2,158.0,1116.0,,,00097739220018230010
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2015-06-18,5952,2001-11-21,4957,14,5916.0,5952.0,,,2,158.0,1116.0,,,00090264520018230010
TJRR,G1,1116,1,2764,1ª VARA DA FAZENDA PÚBLICA,2010-08-30,5946,2001-01-15,3514,14,5916.0,5946.0,,,2,158.0,1116.0,,,00038205020018230010
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2005-06-01,5946,1999-02-04,2309,14,5916.0,5946.0,,,2,158.0,1116.0,,,00190832520018230010
TJRR,G1,1116,1,2764,1ª VARA DA FAZENDA PÚBLICA,2011-02-22,5946,2001-01-15,3690,14,5916.0,5946.0,,,2,158.0,1116.0,,,00197371220018230010
TJRR,G1,1116,1,84323,VARA DE EXECUÇÃO FISCAL,2011-02-15,5946,2001-06-18,3529,14,5916.0,5946.0,,,2,158.0,1116.0,,,00191664120018230010
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2010-08-10,5946,1999-02-09,4200,14,5916.0,5946.0,,,2,158.0,1116.0,,,00096924620018230010
TJRR,G1,1116,1,2764,1ª VARA DA FAZENDA PÚBLICA,2010-02-09,5946,2001-11-17,3006,14,5916.0,5946.0,,,2,158.0,1116.0,,,00092784820018230010
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2010-08-10,5946,1999-11-11,3925,14,5916.0,5946.0,,,2,158.0,1116.0,,,00095998320018230010
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2010-08-10,5946,1999-11-12,3924,14,5916.0,5946.0,,,2,158.0,1116.0,,,00094811020018230010
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2010-08-10,5946,1999-11-12,3924,14,5916.0,5946.0,,,2,158.0,1116.0,,,00095227420018230010
